boro_cd_code,Violations
101,2206
102,10195
103,21415
104,15372
105,4626
106,8092
107,23155
108,17415
109,42110
110,56928
111,25616
112,77921
1NA,86
201,32611
202,28409
203,36256
204,87920
205,74383
206,57940
207,67255
208,22485
209,49801
210,18316
211,35623
212,54004
2NA,320
301,34768
302,16832
303,52268
304,34162
305,56666
306,21629
307,24213
308,43188
309,44541
310,22966
311,31011
312,33375
313,15219
314,71044
315,18328
316,30373
317,69002
318,15664
3NA,664
401,29247
402,15805
403,22866
404,22887
405,23622
406,8805
407,19381
408,12975
409,16873
410,8675
411,3825
412,27148
413,8145
414,21928
481,4
4NA,384
501,22871
502,3793
503,2668
5NA,23
